Alignment ID,Average Rt(min),Average Mz,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
686,2.071,141.08888,62275,61931,58110,52401,47117,41523,40689,39249,37820,35794
690,18.928,141.16383,346,591,650,718,803,950,970,1134,1135,1342
705,0.612,142.02737,1722,1837,1522,1813,1669,1847,1814,1928,1880,1797
706,0.547,142.04823,1462,1628,1795,1897,2107,1964,2118,2030,2145,2316
707,2.03,142.09239,2672,4290,3914,3563,3444,3119,2992,2925,2181,1779
710,0.478,142.58998,1167,1391,1720,1700,2171,1917,2035,2306,1835,2171
721,17.686,143.10651,677,1078,1420,1590,1679,1784,1990,1919,2115,2398
722,19.9,143.10661,143,215,302,375,436,461,502,498,586,636
723,18.93,143.1069,524,768,959,1208,1499,1709,1832,2134,2087,2325
724,0.665,143.11783,2083,3046,2935,3275,3302,3799,4614,5482,4434,4433
725,1.465,143.11839,1404,2868,4352,6114,6278,5531,4821,4787,4746,4594
726,0.519,143.57927,894,1246,1350,1376,1323,1585,1329,1374,1411,1372
734,0.621,144.06653,1705,1822,2093,2028,2028,1888,1775,1673,1819,1754
735,3.561,144.08116,628,1329,1807,2461,2692,2596,2455,2420,2293,2306
736,2.4,144.08157,760,1348,2039,2156,2019,2087,2121,2162,2165,2064
737,0.593,144.10168,3439,4210,4670,4224,4449,4638,4347,4136,4041,3830
738,2.033,144.10243,1487,2599,3852,4875,5556,6474,7318,8172,8574,9040
740,0.65,144.60503,1270,1626,1536,1666,1520,1812,1957,1886,1897,1917
747,0.476,145.03474,22057,23832,25694,27074,29486,26744,25585,28443,24721,27800
753,0.611,145.13321,1117,1331,1411,1701,1574,1707,1622,1654,1700,1794
761,4.397,146.06065,1997,3958,6247,7912,9718,10412,11277,11510,11915,11679
762,2.423,146.0609,1666,3169,4309,4717,4457,4515,4576,4659,4744,4948
763,1.34,146.06108,84,164,209,343,371,343,2289,2672,1754,1313
764,0.598,146.09241,3360,4198,4121,4812,4172,4991,4666,5080,5227,5129
765,0.593,146.11751,6004,7966,8332,8398,8457,8211,8561,8442,8272,8491
766,2.261,146.11812,527,898,1194,1493,1592,1654,1790,1889,1954,2009
772,0.489,146.16551,4205,4756,4911,4704,4772,4083,4416,4394,4130,4046
781,0.469,147.05029,18748,20815,21691,24051,25301,23134,22710,26130,21287,23014
785,0.59,147.07663,24462,27726,29153,27424,23910,27806,25011,26333,25074,25007
787,0.497,147.1129,56876,70612,73122,86193,75960,95141,79328,96394,90157,91511
788,1.687,147.11296,464,809,1114,1792,2978,3291,2900,2957,2733,2700
789,17.689,147.11697,368,594,749,855,952,1042,1149,1214,1148,1297
795,0.547,148.00389,16508,17976,20985,21025,24404,21648,25494,23848,24152,24330
796,0.597,148.06003,68638,72106,69633,61161,56026,55614,51960,53347,54807,54397
799,0.558,148.11678,4211,5050,5116,5961,5138,6301,5268,6297,6202,6897
808,5.824,149.04468,714,1212,1504,1811,2251,3506,4479,5458,6332,7420
810,1.243,149.06023,9181,16367,21057,18731,19165,18905,19471,20919,21309,21542
812,0.635,149.06049,3792,4278,3914,3575,11534,9779,8397,7950,7874,7722
815,2.972,149.1174,450,706,907,1135,1291,2028,2124,2185,2468,2678
816,17.682,149.13228,563,878,1090,1328,1462,1656,1698,1924,1822,1888
818,11.174,149.13268,196,394,551,756,947,981,1237,1379,1441,1438
819,16.531,149.13304,492,715,1022,1256,1407,1605,1529,1829,1961,1935
822,0.542,149.99312,906,1026,1233,1283,1300,1450,1488,1538,1648,1705
825,0.635,150.05881,29943,44410,47458,48964,50046,45893,43913,41969,40029,37512
826,1.256,150.06291,993,1740,2333,1990,2112,2234,2315,2388,2400,2536
827,5.223,150.06294,240,471,724,856,1126,1190,1367,1395,1465,1416
830,0.628,151.06065,2139,3116,3222,3276,3612,3129,3030,2583,2868,2731
833,10.977,151.0759,226,512,829,964,1133,1362,1382,1709,1658,1802
835,17.687,151.11157,462,902,948,1262,1408,1405,1546,1542,1745,1748
836,18.858,151.14798,101,191,287,342,373,489,516,549,599,698
838,17.47,151.14825,439,690,1008,1062,1507,1382,1767,1771,1799,2035
839,0.56,151.62599,19580,25976,30526,31491,34921,32577,36391,35269,35609,37783
842,0.556,152.02292,1019,1620,1429,1724,2697,2244,2467,2731,2728,3311
843,0.682,152.05525,6633,8577,8550,8204,7683,7660,7534,7221,7451,7324
854,0.686,153.04106,13070,13421,11461,10735,9670,10166,9402,9481,8985,9551
859,17.681,153.12784,567,755,843,1176,1252,1313,1434,1445,1491,1359
860,18.931,153.12784,381,663,842,861,1061,1171,1362,1531,1627,1771
862,17.685,153.16359,1335,1882,2441,2902,3232,3463,3900,3774,4117,4149
866,0.549,154.05861,1272,1985,2437,3482,4141,4167,4722,4733,5126,6167
867,0.698,154.08466,2407,2755,2810,3254,3303,3507,3418,3801,4009,4456
870,0.553,155.04286,901,1256,1391,1348,1550,1451,1615,1559,1651,1811
