Alignment ID,Average Rt(min),Average Mz,C1_DUO,C2_DUO,C3_DUO,C4_DUO,C5_DUO,C6_DUO,N1_DUO,N2_DUO,N3_DUO,N4_DUO,N5_DUO,N6_DUO
6486,10.746,483.29736,6150,849,2831,4794,524,1294,4965,4127,1903,1348,3237,824
6487,10.436,483.29761,6146,4376,3367,3974,3836,3272,4003,4322,3856,3834,5618,3473
6488,13.976,483.34396,355,154,136,132,1240,435,82,179,410,190,138,1108
6489,11.432,483.34482,7125,3295,2350,4567,2759,7034,5896,6071,674,2425,5502,1990
6491,13.111,483.34589,565,342,149,86,478,105,106,399,591,116,107,513
6500,13.71,484.26724,470,296,0,194,1701,135,304,366,242,126,350,1136
6502,8.008,484.27386,1672,172,590,824,282,1298,1393,887,288,131,458,652
6504,10.821,484.2963,1950,262,1084,1540,237,648,1355,1546,695,305,1086,293
6505,9.787,484.30273,829,567,294,136,490,130,538,604,433,225,318,252
6507,7.526,484.31351,2124,554,100,1963,463,78,499,919,739,100,389,82
6508,16.193,484.33011,37202,35104,28200,32498,34868,31325,35964,35769,34266,30439,31690,34191
6510,12.41,484.36615,1508,722,428,360,540,467,1586,1956,222,754,340,480
6525,8.531,485.12125,890,720,392,496,639,445,690,610,520,231,451,439
6529,14.407,485.28702,40232,46806,17191,15672,35565,25372,36142,39066,32426,18995,24624,23941
6531,11.261,485.32602,791,237,298,2034,1011,639,765,507,243,461,523,694
6532,11.79,485.32706,5456,606,774,7647,2225,1739,2497,2401,1080,860,687,1272
6533,13.799,485.33499,1797,382,511,1897,436,1398,2442,2595,546,695,593,391
6535,17.825,485.36047,586,228,90,253,686,799,747,208,477,100,148,942
6538,18.173,485.36154,202,272,90,253,298,215,237,88,79,100,148,395
6552,10.643,486.23242,1881,1582,1481,2078,1448,1628,2575,2677,1265,699,2258,2014
6555,5.017,486.28967,2267,2666,1004,604,947,1190,2849,1794,485,395,1209,618
6556,14.439,486.29102,10191,12251,4621,4042,9419,6292,9121,9515,7737,5079,5534,6426
6557,15.373,486.29535,1725,1628,1403,1812,3025,2580,3893,2293,947,1332,1149,1839
6563,8.52,486.78946,191,259,488,1643,673,811,458,433,587,540,475,168
6564,14.633,487.095,223,271,338,313,512,488,80,232,396,541,369,396
6567,14.471,487.29294,2276,2668,912,942,2241,1695,1944,2190,2028,963,1158,1565
6569,11.667,487.30298,2132,1104,926,1158,1738,1129,456,782,588,664,1034,1434
6570,11.666,487.33984,1502,364,272,1815,928,1126,644,609,365,412,246,152
6571,11.016,487.34052,1003,210,205,2388,1081,436,761,520,572,160,78,315
6572,14.573,487.34283,155,0,263,1141,236,1409,651,390,686,721,0,215
6583,11.421,488.30081,3827,1451,1405,2365,1630,3950,1648,3037,386,1222,2262,1190
6585,16.578,488.31018,12750,11820,4054,7127,7148,5053,9703,10033,6458,3969,2991,7508
6589,5.047,488.72699,8429,2329,565,25,189,420,538,190,228,430,240,164
6599,0.643,489.26685,1438,946,1026,1157,1270,1160,1545,1882,1024,817,602,1068
6600,2.901,489.26767,3169,1636,1700,4946,1807,2026,3636,3420,1378,1231,1245,1346
6604,11.166,489.3208,1224,366,636,743,1726,434,451,609,675,144,362,1147
6609,0.653,490.24954,1613,850,1109,1203,1161,934,1078,951,917,578,709,847
6614,15.427,490.29077,11531,16590,6159,8505,11001,6545,14854,13480,14954,6864,10968,11794
6618,16.543,490.32645,4724,6392,3087,4553,6065,2381,7101,6773,6463,4194,3214,4468
6621,17.696,490.37961,596,547,316,1104,146,548,611,685,522,353,76,316
6628,13.959,491.27652,1563,2328,2985,1834,3368,4486,2441,3968,2539,1850,3829,5220
6637,16.758,492.34631,3554,3171,2239,2963,3004,2538,3951,5021,2368,2406,1801,3146
6655,9.753,492.944,439,256,100,1330,265,379,654,219,100,0,0,199
6661,6.532,493.28088,1766,4213,1370,2992,916,1421,468,3275,1965,950,908,164
6663,5.985,493.28152,377,4213,1736,764,600,1162,424,1052,2034,980,1338,828
6664,5.415,493.28192,215,2183,1914,242,2111,1239,360,559,1316,2852,3998,3099
6666,14.648,493.29285,667,1673,1234,1157,5020,2322,1077,2133,2502,688,1377,2567
6668,11.985,493.29544,551,1589,235,174,875,1012,482,360,212,600,918,637
6678,7.576,494.24924,2295,770,180,488,517,560,2095,3511,270,304,430,209
6682,5.512,494.28564,0,881,605,302,507,175,0,472,240,1017,1313,1299
6685,14.809,494.29123,2436,1189,1743,2691,2098,1862,2276,2206,2923,2344,2076,2212
6686,15.67,494.32486,2762,6345,3131,3818,7432,4218,4998,7037,6607,3493,6928,6923
6687,13.977,494.32532,66710,41952,34630,86755,56516,61310,65428,77756,51487,22078,34218,40535
6689,16.714,494.36163,1852,3853,1544,2253,3305,1663,3189,4430,2912,2854,3106,3498
6690,7.918,494.75284,1708,2334,536,398,1454,238,705,657,592,349,702,921
6709,15.532,495.30814,7488,10475,5168,18585,26398,12305,6886,12300,15288,5649,8405,8589
6710,14.99,495.30844,314,10475,80,18585,1977,1440,75,1235,1012,5649,295,1186
6711,13.979,495.32935,17146,11162,9546,22881,15167,17463,16955,21098,13779,6076,9553,11036
6713,17.773,495.33231,493,435,92,275,212,482,478,408,104,120,90,150
6714,13.537,495.34906,280,0,0,283,404,578,307,75,122,0,88,104
6721,5.862,495.76569,1382,650,2297,2516,826,1965,1495,3419,3081,1447,1652,1775
6730,10.065,496.27206,98074,64685,35980,54356,29470,56498,77034,59799,38437,42216,51327,24368
6731,8.783,496.27274,3081,2029,1378,2362,1692,2743,2111,2046,1099,809,1735,2273
6732,14.858,496.29398,4152,3374,2316,3650,3178,3002,3134,3291,3327,2737,2647,2275
6736,11.156,496.32806,1912,1004,761,1372,505,1704,1421,1052,0,301,829,1704
6737,14.869,496.33917,981792,925090,653620,833939,788111,727541,840506,862879,835150,767394,669079,711962
6738,16.944,496.3403,42525,65872,14042,32838,56211,14895,50692,55751,65658,30678,35069,50843
6739,18.34,496.37698,36590,38794,11410,12853,22391,8521,17518,22717,10343,17797,5548,14214
6740,19.556,496.37909,88,0,194,133,650,0,180,138,96,102,84,102
6741,20.082,496.38022,86,0,189,116,593,110,286,231,90,102,192,88
6753,4.998,497.13275,7026,5121,2796,2640,3315,1424,2777,2894,1672,1066,676,1330
6754,4.7,497.13434,7026,5121,2796,2640,3315,1424,2777,2894,1672,1066,676,1330
6756,11.524,497.29279,6473,4598,2701,3362,2592,4125,4372,4904,2254,2591,2175,2195
6757,16.021,497.32416,0,1069,88,266,10169,669,0,845,3879,168,191,2046
6758,13.73,497.35959,916,144,209,613,634,1109,1246,426,1246,118,86,304
6761,5.797,498.24478,5264,1272,656,536,450,608,941,784,444,312,541,534
6765,14.42,498.28366,45874,84744,30350,61481,82490,49157,65330,78571,75608,55075,54756,66133
6767,10.513,498.2883,125619,134582,85890,109325,78588,106075,123146,118204,82640,85012,94276,56997
6768,9.552,498.28857,83600,83580,58371,78256,61285,68724,74234,69592,58220,61600,62746,51009
6769,11.141,498.32562,3819,233,1672,2588,2211,3066,5214,2237,324,484,764,2655
6773,14.886,498.34665,62079,59117,42679,55638,54957,47636,53396,58356,51611,45658,47105,45798
6787,15.077,499.28378,525,1875,2195,1763,2362,3213,1805,2361,1592,2312,2906,2803
6788,14.415,499.2868,11340,19501,7825,15233,20919,12231,16872,20344,18594,14548,13854,16377
6789,9.541,499.29132,25675,24100,17171,23841,18881,22082,22968,22705,17800,18739,18910,16246
6790,10.523,499.29199,37391,38909,24658,31482,22757,31464,35697,33645,24863,27037,27274,17404
6791,14.974,499.30295,1753,843,422,1026,987,473,1687,1463,601,465,268,424
6793,7.574,499.30801,15500,3693,6632,17164,33,7272,17580,18484,3662,3128,3307,189
6794,15.916,499.33853,283,109,0,120,1349,83,0,77,523,0,147,307
6802,7.342,499.78049,1972,509,164,555,111,399,1598,1915,110,235,167,175
6809,10.978,500.24994,4059,4452,3322,4366,3372,5022,5434,4852,2664,2684,4961,5029
6810,13.601,500.27682,6547,4039,8193,12041,2651,6125,8513,9072,5678,5651,8459,4794
